"","analyte","community_2","season","n","min","max","median","mean","sd","gmean","gsd"
"143","Sb","Globe/Miami","Winter",68,0.12,1.82,0.42,0.558,0.37,0.456,1.9
"144","Sb","Globe/Miami","Monsoon",39,0.197,4.42,0.549,0.812,0.9,0.602,2
"145","Sb","Hayden/Winkelman","Winter",55,0.16,4.67,0.607,0.748,0.696,0.583,1.97
"146","Sb","Hayden/Winkelman","Monsoon",18,0.232,9.15,1.15,1.91,2.12,1.26,2.53
"147","Sb","Tucson","Winter",48,0.151,5.35,0.591,0.842,0.882,0.615,2.13
"148","Sb","Tucson","Monsoon",21,0.279,2.38,0.529,0.741,0.528,0.616,1.81
"149","Sb","Tucson Spanish","Winter",83,0.11,2.42,0.601,0.645,0.39,0.553,1.76
"150","Sb","Tucson Spanish","Monsoon",36,0.305,8.16,0.666,1.2,1.62,0.821,2.11
"151","Se","Dewey-Humboldt","Winter",27,0.16,4.97,1.24,1.59,1.05,1.29,2.03
"152","Se","Dewey-Humboldt","Monsoon",15,0.19,11.7,3,2.94,2.81,1.84,3.16
"153","Se","Globe/Miami","Winter",68,0.16,7.43,1.16,1.76,1.58,1.25,2.38
"154","Se","Globe/Miami","Monsoon",39,0.25,7.42,1.78,2.11,1.77,1.37,2.75
"155","Se","Hayden/Winkelman","Winter",55,0.296,6.16,1.51,1.65,1.27,1.32,1.96
"156","Se","Hayden/Winkelman","Monsoon",18,0.25,4.8,2.55,2.41,1.4,1.87,2.34
"157","Se","Tucson","Winter",48,0.16,7.38,1.16,1.74,1.71,1.14,2.61
"158","Se","Tucson","Monsoon",21,0.19,4.8,2.53,2.25,1.75,1.36,3.29
"159","Se","Tucson Spanish","Winter",83,0.16,11.6,1.1,1.34,1.44,0.93,2.42
"160","Se","Tucson Spanish","Monsoon",36,0.25,8.25,3,3.04,1.84,2.37,2.29
"161","Sn","Dewey-Humboldt","Winter",27,0.011,2.47,0.0356,0.165,0.472,0.052,3.38
"162","Sn","Dewey-Humboldt","Monsoon",15,0.0173,0.461,0.104,0.122,0.115,0.0839,2.54
"163","Sn","Globe/Miami","Winter",68,0.00511,80.7,0.0616,1.38,9.79,0.0728,4.17
"164","Sn","Globe/Miami","Monsoon",39,0.0201,13.9,0.135,0.999,3.09,0.195,4.02
"165","Sn","Hayden/Winkelman","Winter",55,0.00196,2.94,0.044,0.182,0.437,0.055,4.35
"166","Sn","Hayden/Winkelman","Monsoon",18,0.0243,1.01,0.107,0.164,0.22,0.109,2.3
"167","Sn","Tucson","Winter",48,0.011,1.4,0.0679,0.163,0.255,0.0838,2.98
"168","Sn","Tucson","Monsoon",21,0.018,2.42,0.222,0.494,0.615,0.215,4.21
"169","Sn","Tucson Spanish","Winter",83,0.011,1.76,0.0858,0.148,0.22,0.0868,2.69
"170","Sn","Tucson Spanish","Monsoon",36,0.0298,3.21,0.189,0.367,0.552,0.214,2.65
"171","V","Dewey-Humboldt","Winter",27,0.145,4.9,1.4,1.58,1.13,1.23,2.17
"172","V","Dewey-Humboldt","Monsoon",15,0.672,9.54,5.11,4.67,2.76,3.71,2.19
"173","V","Globe/Miami","Winter",68,0.176,13.2,0.917,1.41,1.85,0.982,2.18
"174","V","Globe/Miami","Monsoon",39,0.465,6.78,2.28,2.7,1.85,2.08,2.17
"175","V","Hayden/Winkelman","Winter",55,0.173,17.5,1.4,1.86,2.32,1.4,2.01
"176","V","Hayden/Winkelman","Monsoon",18,0.527,9.98,4.77,4.18,2.85,3.08,2.42
