"","analyte","Zip","n","min","max","median","mean","sd","gmean","gsd"
"429","V","85501",83,0.176,13.2,1.4,2.03,2.12,1.34,2.48
"430","V","85502",17,0.44,4.99,1.11,1.48,1.2,1.16,2.01
"431","V","85539",5,0.63,1.4,0.853,0.897,0.304,0.861,1.37
"432","V","85705",7,0.393,6.43,1.24,1.77,2.08,1.21,2.36
"433","V","85706",26,0.342,29,2.6,6.2,8.56,2.77,3.62
"434","V","85711",27,0.545,5.58,1.85,2.22,1.23,1.91,1.77
"435","V","85712",3,0.23,2.19,0.49,0.97,1.07,0.627,3.15
"436","V","85713",19,0.63,6.72,2.65,2.93,2.05,2.26,2.18
"437","V","85714",30,1.22,6.76,2.7,3.17,1.63,2.81,1.64
"438","V","85716",6,0.512,7.59,1.95,3.02,2.7,2.09,2.66
"439","V","85718",4,0.239,3.74,0.77,1.38,1.62,0.811,3.31
"440","V","85719",14,0.63,5.48,1.53,1.86,1.57,1.46,1.95
"441","V","85745",15,0.301,11.4,0.957,1.94,2.97,1.11,2.57
"442","V","85746",9,0.681,3.54,1.96,1.98,0.989,1.73,1.8
"443","V","85748",6,0.346,5.25,1.39,2.15,2.04,1.36,3.05
"444","V","85749",8,0.406,9.07,1.57,2.64,2.97,1.58,2.97
"445","V","85750",1,1.96,1.96,1.96,1.96,NA,1.96,NA
"446","V","85756",11,0.44,7.27,2.01,3.12,2.38,2.3,2.39
"447","V","86314",4,2.07,6.08,3.77,3.92,1.89,3.57,1.66
"448","V","86327",33,0.145,9.54,1.63,2.63,2.45,1.75,2.61
"449","V","86333",5,0.672,6.02,1.02,2.07,2.27,1.41,2.51
"450","V",NA,2,0.44,1.38,0.91,0.91,0.664,0.779,2.24
"451","Zn","85135",22,15.8,1280,107,350,411,153,4.15
"452","Zn","85192",51,5.95,541,40.2,67.6,105,35.8,2.93
"453","Zn","85286",2,465,482,474,474,12.1,474,1.03
"454","Zn","85501",83,3.94,1450,89.9,173,256,77.8,3.8
"455","Zn","85502",17,58.4,4170,652,1270,1280,726,3.34
"456","Zn","85539",5,36.8,316,83.8,131,112,99.2,2.29
"457","Zn","85705",7,41.1,170,109,103,47.2,92.2,1.73
"458","Zn","85706",26,2.4,1190,139,230,271,124,3.59
"459","Zn","85711",27,3.68,557,85,154,147,99.8,2.83
"460","Zn","85712",3,136,337,186,220,105,204,1.59
"461","Zn","85713",19,13.4,343,73.6,107,92.1,78.3,2.28
"462","Zn","85714",30,8.56,160,46.5,60.5,40.9,47.9,2.09
"463","Zn","85716",6,131,586,332,325,164,288,1.74
"464","Zn","85718",4,2700,12700,4130,5920,4710,4800,2.06
"465","Zn","85719",14,64.8,271,164,171,64,159,1.51
"466","Zn","85745",15,65.6,7630,300,2090,2790,546,6.42
"467","Zn","85746",9,16.9,72.7,45.6,44.8,19.8,40.5,1.65
"468","Zn","85748",6,45,243,108,126,66.9,111,1.74
"469","Zn","85749",8,18.8,232,107,106,61.2,88,2.08
"470","Zn","85750",1,76.8,76.8,76.8,76.8,NA,76.8,NA
"471","Zn","85756",11,5.15,66.9,21,24.7,18.4,19,2.2
"472","Zn","86314",4,13.2,34,28.1,25.8,9.4,24.3,1.54
"473","Zn","86327",33,1.4,3640,26.3,204,638,37.7,5.1
"474","Zn","86333",5,24.8,646,86.8,187,258,102,3.22
"475","Zn",NA,2,81,96,88.5,88.5,10.6,88.2,1.13
"476","pli","85135",22,2.11,13.4,3.15,4.77,3.31,3.99,1.78
"477","pli","85192",51,0.169,10.9,1.71,2.13,1.79,1.6,2.24
"478","pli","85286",2,5.11,7.24,6.17,6.17,1.5,6.08,1.28
"479","pli","85501",83,0.244,24.6,1.93,3.3,3.99,2.14,2.44
"480","pli","85502",17,0.951,18.7,2.25,3.2,4.12,2.28,2.06
"481","pli","85539",5,1.69,6.34,3.52,3.89,1.76,3.55,1.65
"482","pli","85705",7,0.906,3.16,1.46,1.6,0.73,1.49,1.47
"483","pli","85706",26,0.118,13.1,1.71,2.62,2.63,1.85,2.44
"484","pli","85711",27,0.199,5.48,1.43,1.78,1.25,1.45,1.97
"485","pli","85712",3,1.34,1.68,1.53,1.52,0.171,1.51,1.12
"486","pli","85713",19,0.536,7.75,1.59,2.1,1.69,1.69,1.9
"487","pli","85714",30,0.635,5.39,1.46,1.82,1.12,1.57,1.71
"488","pli","85716",6,1.74,8.19,3.87,4.31,2.53,3.69,1.87
"489","pli","85718",4,0.712,7.15,1.37,2.65,3.03,1.74,2.74
"490","pli","85719",14,0.892,3.17,1.42,1.64,0.702,1.51,1.5
"491","pli","85745",15,0.783,4.9,1.48,1.91,1.14,1.68,1.63
"492","pli","85746",9,0.595,2.87,1.16,1.46,0.845,1.26,1.76
"493","pli","85748",6,0.673,2.48,1.05,1.22,0.664,1.1,1.6
"494","pli","85749",8,0.429,6.92,1.15,1.77,2.14,1.18,2.41
"495","pli","85750",1,1.4,1.4,1.4,1.4,NA,1.4,NA
"496","pli","85756",11,0.127,1.88,1.11,0.992,0.47,0.836,2.08
"497","pli","86314",4,0.704,1.65,1.03,1.1,0.404,1.05,1.43
"498","pli","86327",33,0.148,7.88,0.901,1.53,1.67,1.04,2.36
"499","pli","86333",5,0.563,2.96,0.878,1.37,0.971,1.15,1.91
"500","pli",NA,2,1.24,1.42,1.33,1.33,0.131,1.33,1.1
