"","analyte","score_bin","community","n","min","max","median","mean","sd","gmean","gsd"
"164","Pb","Medium","Tucson",121,0.013,22.2,0.629,1.85,3.67,0.678,3.99
"165","Pb","High","Dewey-Humboldt",14,0.0263,3.18,0.729,1.19,1.09,0.604,4.3
"166","Pb","High","Globe/Miami",44,0.0785,27.2,0.402,2.09,4.83,0.592,4.11
"167","Pb","High","Hayden/Winkelman",5,0.219,0.924,0.614,0.556,0.296,0.484,1.85
"168","Pb","High","Tucson",125,0.0377,350,0.543,5.11,32,0.677,4.63
"169","Sb","None","Dewey-Humboldt",28,0.135,0.921,0.362,0.399,0.21,0.351,1.69
"170","Sb","None","Globe/Miami",20,0.12,1.82,0.491,0.597,0.37,0.508,1.81
"171","Sb","None","Hayden/Winkelman",51,0.183,6.73,0.805,1.28,1.42,0.888,2.24
"172","Sb","None","Tucson",61,0.379,13.4,0.7,1.26,2.21,0.823,1.99
"173","Sb","Medium","Dewey-Humboldt",11,0.146,1.38,0.401,0.509,0.353,0.423,1.88
"174","Sb","Medium","Globe/Miami",59,0.161,4.42,0.531,0.764,0.777,0.574,2.03
"175","Sb","Medium","Hayden/Winkelman",32,0.16,9.15,0.533,1.09,1.66,0.643,2.56
"176","Sb","Medium","Tucson",121,0.11,8.16,0.625,0.822,0.978,0.627,1.93
"177","Sb","High","Dewey-Humboldt",14,0.106,2.56,0.518,0.584,0.602,0.43,2.17
"178","Sb","High","Globe/Miami",44,0.136,1.28,0.437,0.48,0.282,0.411,1.76
"179","Sb","High","Hayden/Winkelman",5,0.198,0.98,0.37,0.493,0.308,0.424,1.84
"180","Sb","High","Tucson",125,0.161,5.35,0.614,0.827,0.797,0.632,1.98
"181","Se","None","Dewey-Humboldt",28,0.16,11.7,1.95,2.56,2.27,1.85,2.38
"182","Se","None","Globe/Miami",20,0.28,7.43,1.15,1.69,1.58,1.27,2.15
"183","Se","None","Hayden/Winkelman",51,0.296,8.96,1.6,2.33,1.77,1.84,1.99
"184","Se","None","Tucson",61,0.564,7.87,1.6,1.69,1.11,1.48,1.63
"185","Se","Medium","Dewey-Humboldt",11,0.19,3.19,1.6,1.61,0.905,1.32,2.15
"186","Se","Medium","Globe/Miami",59,0.25,7.42,1.6,1.94,1.61,1.39,2.34
"187","Se","Medium","Hayden/Winkelman",32,0.25,4.8,1.1,1.59,1.23,1.2,2.17
"188","Se","Medium","Tucson",121,0.16,11.6,1.3,1.78,1.71,1.23,2.43
"189","Se","High","Dewey-Humboldt",14,0.25,7.34,1.2,1.69,1.81,1.14,2.52
"190","Se","High","Globe/Miami",44,0.16,5.82,1.11,1.78,1.58,1.18,2.67
"191","Se","High","Hayden/Winkelman",5,0.408,3,1.51,1.52,0.95,1.27,2.08
"192","Se","High","Tucson",125,0.16,12.6,1.6,2.17,2.06,1.39,2.79
"193","Sn","None","Dewey-Humboldt",28,0.011,2.47,0.0582,0.22,0.478,0.0739,4.04
"194","Sn","None","Globe/Miami",20,0.0153,0.139,0.0488,0.0574,0.0353,0.0474,1.92
"195","Sn","None","Hayden/Winkelman",51,0.00828,1.01,0.0764,0.135,0.19,0.0702,3.19
"196","Sn","None","Tucson",61,0.015,0.752,0.108,0.165,0.164,0.109,2.53
